 ,Label,Area,Mean,XM,YM,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,blobs.gif,433,255,20.486,13.712,92.912,0.630,36.620,15,30,55.008,17.814,2.075,0.482,0.860
2,blobs.gif,185,255,63.446,4.770,55.213,0.763,21.378,53,0,169.216,11.000,1.778,0.562,0.951
3,blobs.gif,658,255,108.830,13.068,97.355,0.872,33.015,102,27,54.866,27.000,1.068,0.936,0.967
4,blobs.gif,434,255,155.021,10.306,78.527,0.884,27.203,149,22,53.973,23.000,1.064,0.940,0.959
5,blobs.gif,477,255,247.309,14.045,85.456,0.821,31.780,243,29,65.854,19.000,1.570,0.637,0.968
6,blobs.gif,285,255,197.711,16.258,62.184,0.926,21.840,194,27,74.055,18.000,1.153,0.867,0.938
7,blobs.gif,81,255,137.525,22.278,32.385,0.971,12.042,133,26,41.634,9.000,1.204,0.830,0.926
8,blobs.gif,278,255,219.288,28.295,63.941,0.854,23.087,216,39,72.350,17.000,1.389,0.720,0.919
9,blobs.gif,231,255,45.080,26.591,55.698,0.936,19.209,39,34,51.340,16.000,1.141,0.877,0.941
10,blobs.gif,501,255,174.438,33.692,82.669,0.921,27.459,167,45,56.889,24.684,1.075,0.930,0.948
11,blobs.gif,660,255,73.805,41.779,98.326,0.858,35.000,62,54,53.130,26.386,1.337,0.748,0.952
12,blobs.gif,99,255,8.227,45.278,35.799,0.971,13.416,5,51,63.435,10.000,1.269,0.788,0.943
13,blobs.gif,228,255,233.592,47.645,55.698,0.924,19.313,231,57,68.749,16.000,1.142,0.876,0.940
14,blobs.gif,448,255,138.969,55.246,78.426,0.915,26.926,137,42,105.068,22.000,1.207,0.828,0.947
15,blobs.gif,401,255,195.153,59.767,87.497,0.658,35.468,190,76,68.499,15.696,2.499,0.400,0.890
16,blobs.gif,520,255,28.848,57.998,84.669,0.912,28.862,25,72,75.964,24.000,1.182,0.846,0.952
17,blobs.gif,425,255,99.432,73.644,77.841,0.881,28.653,93,86,60.751,20.000,1.451,0.689,0.953
18,blobs.gif,271,255,214.666,71.094,62.184,0.881,22.561,212,82,77.196,16.405,1.348,0.742,0.922
19,blobs.gif,350,255,245.774,73.466,68.770,0.930,24.413,236,80,34.992,20.506,1.168,0.856,0.943
20,blobs.gif,159,255,168.022,73.211,46.284,0.933,16.492,165,81,75.964,13.000,1.225,0.816,0.930
21,blobs.gif,412,255,64.330,84.393,75.598,0.906,25.239,56,75,123.690,22.000,1.106,0.904,0.945
22,blobs.gif,426,255,130.272,84.110,87.497,0.699,31.906,119,94,32.196,20.529,1.810,0.553,0.869
23,blobs.gif,260,255,34.188,86.592,59.941,0.909,20.616,30,96,67.166,17.705,1.153,0.867,0.932
24,blobs.gif,506,255,8.362,98.022,87.941,0.822,32.757,2,82,102.339,19.000,1.677,0.596,0.961
25,blobs.gif,289,255,223.054,95.324,62.770,0.922,21.401,217,104,52.595,18.783,1.131,0.884,0.935
26,blobs.gif,676,255,175.286,99.583,104.326,0.780,35.777,158,92,153.435,26.436,1.483,0.675,0.909
27,blobs.gif,175,255,251.317,105.597,53.213,0.777,20.616,248,114,67.166,11.000,1.763,0.567,0.951
28,blobs.gif,361,255,103.320,111.863,70.184,0.921,24.352,92,108,160.821,20.000,1.222,0.818,0.945
29,blobs.gif,545,255,37.557,122.731,86.912,0.907,30.594,35,138,78.690,24.000,1.225,0.817,0.949
30,blobs.gif,610,255,127.105,129.920,112.569,0.605,45.618,117,150,63.997,19.200,2.748,0.364,0.848
31,blobs.gif,641,255,165.341,132.428,106.569,0.709,39.205,153,116,127.747,23.255,1.936,0.517,0.884
32,blobs.gif,195,255,63.141,123.346,51.113,0.938,17.720,60,132,73.610,15.000,1.147,0.872,0.929
33,blobs.gif,593,255,224.441,127.856,89.255,0.935,29.547,211,134,23.962,26.000,1.090,0.918,0.960
34,blobs.gif,268,255,7.720,139.974,59.941,0.937,22.136,2,150,71.565,16.000,1.294,0.773,0.954
35,blobs.gif,902,255,89.568,162.644,132.225,0.648,52.202,80,186,69.829,23.179,2.517,0.397,0.908
36,blobs.gif,473,255,246.022,153.589,87.255,0.781,35.228,236,166,55.408,20.506,1.743,0.574,0.946
37,blobs.gif,239,255,67.354,147.153,57.113,0.921,20.248,65,157,69.775,16.000,1.213,0.824,0.939
38,blobs.gif,167,255,188.662,156.853,48.042,0.909,17.493,184,164,59.036,13.000,1.291,0.775,0.933
39,blobs.gif,413,255,136.846,163.500,76.770,0.881,28.425,127,174,50.711,20.984,1.375,0.727,0.951
40,blobs.gif,415,255,16.608,169.194,77.598,0.866,27.203,7,179,53.973,21.187,1.246,0.802,0.937
41,blobs.gif,244,255,214.205,166.857,57.941,0.913,20.000,209,175,53.130,17.000,1.138,0.879,0.930
42,blobs.gif,377,255,44.627,172.365,72.527,0.901,25.632,39,184,69.444,19.000,1.285,0.778,0.952
43,blobs.gif,652,255,179.845,182.144,94.426,0.919,31.780,175,167,114.146,27.000,1.115,0.897,0.962
44,blobs.gif,379,255,233.487,185.075,72.184,0.914,25.060,228,196,61.390,21.213,1.149,0.871,0.948
45,blobs.gif,578,255,130.839,197.785,89.012,0.917,29.206,121,187,128.047,26.000,1.050,0.952,0.956
46,blobs.gif,69,255,253.775,200.891,38.971,0.571,17.117,254,192,96.710,6.000,2.965,0.337,0.885
47,blobs.gif,170,255,206.424,203.435,47.698,0.939,17.720,204,212,73.610,13.000,1.358,0.736,0.932
48,blobs.gif,472,255,26.551,215.843,89.255,0.745,34.785,21,199,108.435,18.646,2.042,0.490,0.922
49,blobs.gif,613,255,103.255,214.291,94.225,0.868,32.802,92,202,127.569,24.600,1.354,0.739,0.942
50,blobs.gif,543,255,62.605,217.813,86.669,0.908,30.871,56,204,114.905,23.000,1.320,0.757,0.953
51,blobs.gif,204,255,4.436,226.314,62.870,0.649,26.019,0,213,92.203,11.000,2.221,0.450,0.938
52,blobs.gif,555,255,234.561,227.673,87.255,0.916,28.792,221,223,159.677,26.000,1.073,0.932,0.954
53,blobs.gif,858,255,180.791,230.323,113.740,0.833,41.304,161,231,6.953,26.102,1.564,0.639,0.949
54,blobs.gif,281,255,138.546,233.710,62.770,0.896,22.561,136,223,102.804,17.000,1.322,0.756,0.927
55,blobs.gif,215,255,46.537,240.988,54.527,0.909,19.647,45,251,75.256,15.000,1.307,0.765,0.929
56,blobs.gif,81,255,179.241,251.636,42.385,0.567,19.105,170,252,173.991,6.000,3.082,0.324,0.910
57,blobs.gif,90,255,128.100,251.822,49.556,0.461,23.022,116,253,177.510,5.000,4.095,0.244,0.933
58,blobs.gif,53,255,234.896,252.066,35.556,0.527,16.031,227,253,176.424,5.000,2.859,0.350,0.891
